,ROI,Behavior,Corr,p-value,nsamples,adjusted-p
825,Cerebelum_4_5_R,"VSA DAS_SA,PC_ABILITY_SCORE",-0.2676470588235294,0.10138986101389862,15,0.6906856484162904
267,Frontal_Sup_R,"VSA DAS_SA,rd_ABILITY_SCORE",-0.2675997034514863,0.0613938606139386,12,0.6230362879205037
313,Thalamus_R,Vineland-receptive_RAW_SCORE,0.2673586072878633,0.29517048295170484,15,0.8754957837549578
214,Temporal_Pole_Mid_R,CBCL-attention_prob_score,-0.2660789491245139,0.42695730426957307,15,0.8982752950862952
1288,Angular_R,Vineland-domestic_RAW_SCORE,-0.265487880754859,0.16518348165183483,15,0.774501989053431
1309,Frontal_Mid_R,CBCL-social_prob_score,0.2649328815094218,0.1755824417558244,15,0.774501989053431
231,Temporal_Pole_Mid_R,"VSA DAS_SA,matrices_ABILITY_SCORE",-0.26450167789296997,0.1837816218378162,15,0.7745623132211273
60,Postcentral_L,"VSA DAS_SA,word_defn_ABILITY_SCORE",-0.2642085345567405,0.12918708129187081,12,0.735464915046957
1343,Occipital_Inf_R,CBCL-sluggish_cogn_tempo_score,0.26343184548396775,0.17718228177182282,15,0.774501989053431
986,Cerebelum_Crus2_R,CBCL-depressed_score,0.26330810515092945,0.06239376062393761,15,0.6230362879205037
791,CSF,"VSA DAS_SA,matrices_ABILITY_SCORE",0.26301571341042523,0.5975402459754025,15,0.9413231905155942
698,Frontal_Inf_Tri_R,Vineland-receptive_RAW_SCORE,0.2629272491560203,0.24817518248175183,15,0.8515529865106398
1253,Angular_L,Vineland-domestic_RAW_SCORE,-0.2625380154131383,0.1493850614938506,15,0.756626846275946
676,Frontal_Inf_Tri_R,CBCL-oppo_def_prob_score,-0.26231867907268624,0.44175582441755823,15,0.8982752950862952
187,Frontal_Sup_Orb_L,CBCL-rule_break_behav_score,-0.26181884794906085,0.32936706329367066,15,0.8764340957208628
642,Frontal_Mid_L,CBCL-rule_break_behav_score,0.26181884794906085,0.04939506049395061,15,0.5828925304190892
733,Frontal_Mid_Orb_L,Vineland-receptive_RAW_SCORE,0.26145012977873927,0.6565343465653435,15,0.9604473199493008
841,Temporal_Mid_R,CBCL-anx_prob_score,0.2606178416849133,0.21777822217778223,15,0.8094681248055566
924,Frontal_Inf_Tri_L,CBCL-social_prob_score,0.26041698012005665,0.09099090090990901,15,0.6906856484162904
914,Frontal_Inf_Tri_L,CBCL-attention_prob_score,-0.2601660835884136,0.5307469253074693,15,0.9179353334703522
